SA1_7DIGITCODE_2016	HomeCensusNight	persons
1103713	1	487
1103714	0	14
1103714	1	425
1103801	0	14
1103801	1	437
1103802	0	24
1103802	1	489
1103803	0	30
1103803	1	343
1103804	0	31
1103804	1	468
1103805	0	18
1103805	1	258
1103806	0	25
1103806	1	253
1103807	0	22
1103807	1	407
1103808	0	24
1103808	1	265
1103809	0	19
1103809	1	530
1103810	0	30
1103810	1	306
1103811	0	15
1103811	1	467
1103812	0	18
1103812	1	338
1103813	0	12
1103813	1	528
1103814	0	16
1103814	1	481
1103815	0	27
1103815	1	304
1103816	0	11
1103816	1	422
1103817	0	24
1103817	1	318
1103901	0	29
1103901	1	625
1103902	0	24
1103902	1	368
1103903	0	23
1103903	1	291
1103904	0	23
1103904	1	546
1103905	0	12
1103905	1	409
1103906	0	20
1103906	1	445
1103908	0	32
1103908	1	409
1103909	0	23
1103909	1	570
1103911	0	54
1103911	1	537
1103912	0	21
1103912	1	541
1103913	0	45
1103913	1	564
1103914	0	23
1103914	1	325
1103915	0	25
1103915	1	459
1103916	0	28
1103916	1	449
1103917	0	26
1103917	1	341
1103918	0	19
1103918	1	519
1103919	0	21
1103919	1	390
1103920	0	36
1103920	1	572
1103921	0	42
1103921	1	539
1103922	0	22
1103922	1	513
1103923	0	32
1103923	1	281
1103924	0	6
1103924	1	204
1103925	0	15
1103925	1	432
1103926	0	44
1103926	1	591
1103927	0	27
1103927	1	440
1103928	0	18
1103928	1	414
1103929	0	17
1103929	1	388
1103930	0	5
1103930	1	159
1103931	0	35
1103931	1	273
1104001	0	23
1104001	1	329
1104002	0	12
1104002	1	310
1104003	0	14
1104003	1	267
1104004	0	15
1104004	1	433
1104005	0	19
1104005	1	287
1104006	0	29
1104006	1	459
1104007	0	18
1104007	1	319
1104008	0	4
1104009	0	38
1104009	1	489
1104010	0	17
1104010	1	322
1104011	0	20
1104011	1	345
1104012	0	11
1104012	1	316
1104013	0	24
1104013	1	556
1104014	0	20
1104014	1	499
1104015	0	28
1104015	1	171
1104016	0	54
1104016	1	477
1104017	0	22
1104017	1	618
1104018	0	21
1104018	1	435
1104019	0	13
1104019	1	471
1104020	0	19
1104020	1	442
1104021	0	20
1104021	1	432
1104022	0	16
1104022	1	217
1104023	0	13
1104023	1	274
1104024	0	38
