SA1_7DIGITCODE_2016	medianTotalFamilyIncome
4106135	60112
4106136	
4106137	
4106201	103220
4106202	99320
4106203	100412
4106204	86632
4106205	90012
4106206	96200
4106207	111800
4106208	135408
4106209	104468
4106210	73632
4106211	82628
4106212	69316
4106213	60892
4106214	53612
4106215	95316
4106216	57200
4106217	92300
4106218	101816
4106219	100724
4106220	127764
4106221	99632
4106222	98020
4106223	100048
4106224	75192
4106225	76544
4106226	75244
4106227	72592
4106228	62920
4106229	65624
4106230	97500
4106231	
4106232	116064
4106233	99112
4106234	54756
4106235	107484
4106236	73892
4106237	76336
4106301	81224
4106302	77480
4106303	87724
4106304	94692
4106305	73892
4106306	88088
4106307	109200
4106309	104416
4106310	116272
4106311	93184
4106312	103012
4106313	98124
4106314	
4106315	107536
4106316	97500
4106317	87984
4106318	82628
4106319	81796
4106320	84500
4106321	96408
4106322	101088
4106323	84084
4106324	76648
4106325	112372
4106326	105768
4106327	116688
4106401	96200
4106402	74724
4106403	71500
4106404	61360
4106405	81224
4106406	56732
4106407	90376
4106408	98176
4106409	101192
4106410	81224
4106411	79300
4106412	74412
4106413	96564
4106414	72176
4106415	
4106416	93288
4106417	75816
4106418	80184
4106419	94224
4106420	79612
4106421	98540
4106422	80132
4106423	38948
4106424	85020
4106425	66456
4106426	61412
4106427	80496
4106428	67028
4106429	55224
4106430	68900
4106431	
4106432	
4106433	67808
4106501	121316
4106502	132600
4106503	117000
4106504	110916
4106505	119756
4106506	128648
4106507	107900
4106508	94224
4106509	112112
4106510	124384
4106511	112788
4106512	114972
4106513	
4106601	63440
4106602	48308
4106603	74724
4106604	
4106605	103220
4106606	103012
4106607	117000
4106608	101816
4106609	90012
4106610	84500
4106611	108004
4106612	112320
4106613	93184
4106614	105456
4106615	88348
4106616	94224
4106617	88816
4106618	75192
4106619	
4106620	77532
4106701	102492
4106702	107588
4106703	119132
4106704	76856
4106705	109356
4106706	99216
4106707	130832
4106708	105716
4106709	120588
4106710	97500
4106711	103012
4106712	119444
4106713	114712
4106714	106080
4106715	137488
4106716	97916
4106717	127920
4106718	71500
4106719	103012
4106720	106184
4106721	98124
4106722	98228
4106723	117000
4106724	136916
4106725	
4106801	117000
4106802	120224
4106803	122616
4106804	76336
4106805	81588
4106806	
4106807	95316
4106808	75816
4106809	93132
4106810	77636
4106811	140556
4106812	134316
4106813	110240
4106814	92612
4106815	73476
4106816	124592
4106817	136032
4106818	134316
4106819	120692
4106820	123448
4106821	116428
4106822	128960
4106823	111280
4106824	107068
4106825	115960
4106826	94224
4106827	114140
4106828	122512
4106829	117988
4106830	135876
4106831	109356
4106832	125060
4106833	96668
4106834	104624
4106835	117000
4106901	121680
4106902	134316
4106903	113724
4106904	142168
4106905	94224
4106906	108316
4106907	131352
4106908	112008
4106909	102336
4106910	108628
4106911	133900
4106912	140972
4106913	123448
4106914	130988
4106915	162500
4106916	100724
4106917	101088
4106918	193336
4106919	158340
4106920	120016
4106921	114920
4106922	108576
4106923	140088
4106924	134316
4106925	110812
4106926	125216
4106927	130624
4106928	101348
4106929	117832
4106930	125216
4106931	106600
4106932	
4106933	149448
4106934	120848
4106935	97448
4106936	124592
4106937	131144
4106938	133224
4106939	126048
4107001	91520
4107002	72488
4107003	77012
4107004	68796
4107005	117988
4107006	67184
4107007	102336
4107008	61048
4107009	106080
4107010	101816
4107011	81224
4107012	94588
4107013	74256
4107014	79456
4107015	70200
4107016	89336
4107017	58500
4107018	101348
4107019	61412
4107101	103324
4107102	101244
4107103	67184
4107104	98020
4107105	95576
4107106	86840
4107107	116532
4107108	114712
4107109	114972
4107110	98228
4107111	112268
4107112	109824
4107113	100152
4107114	116532
4107115	70200
4107116	78416
4107117	79872
4107118	80184
4107119	72488
4107120	79872
4107121	86112
4107122	77584
4107123	75868
4107124	80600
4107125	102336
4107126	105508
4107127	79040
4107128	118404
4107129	91676
4107130	
4107131	73424
4107201	64584
4107202	73476
4107209	59852
4107210	69056
4107211	76076
4107212	55900
4107213	60944
4107214	61412
4107215	63700
4107216	90012
4107217	58500
4107218	66456
4107219	65520
4107220	53456
4107221	48152
4107222	81068
4107223	73320
4107224	50648
4107225	68224
4107226	67184
4107227	81224
4107228	83772
4107229	81224
4107230	42640
4107231	85748
4107232	80184
4107233	71500
4107234	76648
4107235	80392
4107236	66924
4107237	74724
4107238	70408
4107239	83772
4107240	63648
4107301	64532
4107302	60944
4107303	63076
4107304	57200
4107305	49868
4107306	44408
4107307	42328
4107308	47632
4107309	39364
4107310	70772
4107311	60268
4107312	
4107313	70096
4107314	64220
4107316	49140
4107317	47580
4107318	49816
4107319	41288
4107320	48776
4107321	58500
4107322	
4107323	45916
4107324	100516
4107325	72696
4107401	
4107402	57876
4107403	58500
4107404	60632
4107405	55952
4107406	51584
4107407	65832
4107408	62452
4107409	59384
4107410	55796
4107411	50024
4107412	
4107413	55484
4107414	73424
4107415	84500
4107416	75816
4107417	63856
4107418	55588
4107419	58500
4107420	62088
4107421	71500
4107422	72280
4107423	67600
4107424	80964
4107425	77220
4107426	74724
4107427	59696
4107501	120848
4107502	100724
4107503	106600
4107504	88816
4107505	105612
4107506	106600
4107507	119340
4107508	96200
4107601	99736
4107602	108108
4107603	105924
4107604	107848
4107605	115544
4107606	137644
4107607	102856
4107608	86632
4107609	130728
4107610	115700
4107701	125840
4107702	120796
4107703	119548
4107704	130728
4107705	87724
4107706	93496
4107707	98124
4107708	88192
4107709	90376
4107710	97500
4107711	100256
4107712	
4107713	95628
4107714	78728
4107715	116168
4107716	87048
4107717	77012
4107718	100984
4107719	110188
4107720	108940
4107721	112320
4107722	105612
4107723	85904
4107724	
4107725	
4107726	119860
4107727	74724
4107801	102856
4107802	65936
4107803	60112
4107804	58916
4107805	53092
4107806	62972
4107807	50024
4107808	61360
4107809	72904
4107810	63076
4107811	96668
4107812	89856
4107813	90012
4107814	101244
4107815	93184
4107816	
4107817	71500
4107818	117000
4107901	43056
4107902	50336
4107903	48048
4107904	46800
4107905	48984
4107906	64428
4107907	51064
4107908	44824
4107909	50232
4107910	66092
4107911	57460
4107912	40976
4107913	51376
4107914	45760
4107915	61204
4107916	59072
4107917	69316
4107918	88660
4107919	62608
4108001	87724
4108002	108316
4108003	70200
4108004	77116
4108005	95056
4108006	80444
4108007	83044
4108008	104832
4108009	78832
4108010	73632
4108011	75348
4108012	80704
4108013	91988
4108014	76440
4108015	87724
4108016	89336
4108017	76336
4108018	108316
4108019	112008
4108020	104364
4108021	92508
4108022	83252
4108023	91416
4108024	86840
4108025	47008
4108026	85540
4108027	107692
4108028	110500
4108029	57772
4108030	74724
4108031	106340
4108032	76076
4108033	84864
4108101	
4108201	33748
4108301	70044
4108302	91520
4108303	68692
4108304	80756
4108305	60996
4108306	105820
4108307	107744
4108308	100516
4108309	95732
4108310	94900
4108311	93184
4108312	72644
4108313	109200
4108314	78624
4108315	77220
4108401	57720
4108402	58500
4108403	63908
4108404	64376
4108405	68796
4108406	66404
4108407	69316
4108408	71500
4108409	77584
4108410	66924
4108411	73632
4108412	89076
4108413	68692
4108414	76804
4108415	79248
4108416	45032
4108417	78780
4108418	84916
4108419	60684
4108420	61204
4108421	60892
4108422	54184
4108423	71500
4108424	62556
4108425	66092
4108426	61412
4108427	69316
4108428	65520
4108429	73320
4108430	55900
4108431	76336
4108432	
4108433	75192
4108434	55900
4108501	58500
4108502	55796
4108503	72280
4108504	59384
4108505	63648
4108506	60424
4108507	70408
4108508	72540
4108509	61516
4108510	46800
4108511	52832
4108512	56316
4108513	47736
4108514	68224
4108515	61048
4108516	56992
4108517	60840
4108518	52624
4108519	63544
4108520	68484
4108521	62348
4108522	67964
4108523	67184
4108601	71708
4108602	71084
4108603	76076
4108604	68536
4108605	78572
4108606	54600
4108607	68900
4108608	84500
4108609	70252
4108610	78572
4108611	62088
4108612	59332
4108613	70044
4108614	63076
4108615	64428
4108616	85540
4108617	80756
4108618	74308
4108619	82160
4108620	82316
4108621	
4108622	83876
4108701	75192
4108702	87360
4108704	74516
4108705	75816
4108706	96824
4108707	74724
4108708	85696
4108709	66300
4108710	52624
4108711	67288
4108712	70876
4108713	51168
4108714	53768
4108715	69056
4108716	65624
4108718	63752
4108719	73632
4108720	84500
4108721	75192
4108722	94692
4108723	65572
4108724	81900
4108725	77064
4108726	60216
4108727	64012
4108728	85124
4108729	62452
4108730	71500
4108731	77324
4108732	71188
4108733	75348
4108734	69108
4108735	77116
4108736	74568
4108738	84500
4108739	106444
4108740	75348
4108741	79456
4108742	71500
4108743	77480
4108744	92612
4108745	78312
4108746	
4108747	
4108748	
4108749	79092
4108750	81484
4108801	83772
4108802	103116
4108803	84500
4108804	81900
4108805	79248
4108806	84500
4108807	94692
4108808	107016
4108809	83408
4108810	76336
4108901	
4108902	77428
4108903	63752
4108904	57148
4108905	92248
4108906	97500
4108907	86320
4108908	121316
4108909	117000
4108910	111800
4108911	83044
4108912	104884
4108913	90428
4108914	86632
4108915	80704
4108916	106600
4108917	108524
4108918	94224
4108919	88816
4108920	88972
4108921	81588
4108922	74724
4108923	95784
4108924	87724
4108925	73320
4108926	94900
4108927	103012
4108928	
4109001	76076
4109002	67756
4109003	75244
4109004	87464
4109005	80340
4109006	105040
4109007	87048
4109008	102492
4109009	79612
4109010	83460
4109011	86320
4109012	69056
4109013	76024
4109014	95732
4109015	84500
4109016	80184
4109017	83200
4109018	71500
4109019	102024
4109101	78728
4109102	78884
4109103	77584
4109104	119548
4109105	84500
4109106	86216
4109107	67860
4109108	82836
4109109	62608
4109110	84500
4109111	84500
4109112	85384
4109113	95472
4109114	101452
4109115	86632
4109116	69316
4109117	77272
4109118	95836
4109119	70252
4109120	81588
4109121	82524
4109122	69316
4109123	57200
4109124	75816
4109125	71500
4109126	74516
4109127	58500
4109128	71500
4109129	63232
4109130	83408
4109201	121004
4109202	121628
4109203	99112
4109204	111228
4109205	124280
4109206	80444
4109207	86632
4109208	73632
4109209	75192
4109210	91572
4109211	127972
4109212	132184
4109213	121316
4109214	106600
4109215	77116
4109216	122512
4109217	97500
4109218	94224
4109219	88244
4109220	94224
4109221	79300
4109222	119444
4109223	121836
4109224	98384
4109225	95316
4109226	122512
4109227	98540
4109228	100724
4109229	93444
4109230	74412
4109231	64324
4109232	77480
4109233	108004
4109234	118612
4109301	115128
4109302	97500
4109303	74724
4109304	72644
4109305	92716
4109306	97500
4109307	98280
4109308	78884
4109309	42640
4109310	64220
4109311	57356
4109312	79612
4109313	114920
4109314	81900
4109315	95316
4109316	94536
4109317	105040
4109318	75660
4109319	93184
4109320	105092
4109321	120016
4109322	75660
4109323	94692
4109324	80860
4109325	92872
4109326	70564
4109327	73216
4109328	75816
4109329	98540
4109330	70408
4109331	71500
4109332	107016
4109333	73112
4109334	81224
4109335	64636
4109336	86112
4109337	98540
4109338	88348
4109339	92872
4109340	108576
4109341	73320
4109342	88504
4109343	83668
4109344	79456
4109401	61152
4109402	74152
4109403	79768
4109404	78468
4109405	65416
4109406	74256
4109407	73112
4109408	87516
4109409	
4109410	
4109411	88348
4109412	76856
4109413	98748
4109414	83668
4109501	
4109502	84500
4109503	103116
4109504	58864
4109505	67288
4109506	72852
4109507	79092
4109508	68900
4109509	42796
4109510	62504
4109511	86216
4109512	72644
4109513	84500
4109514	82316
4109515	73788
4109516	84500
4109517	
4109518	50232
4109519	64532
4109520	86112
4109521	72072
4109522	70772
4109523	78780
4109524	73892
4109525	70512
4109526	66300
4109527	126256
4109528	119548
4109529	88348
4109530	94224
4109531	87048
4109532	119704
4109533	101348
4109534	95316
4109535	87984
4109536	95056
4109537	124540
4109538	100724
4109539	78676
4109540	42900
4109541	74048
4109601	95472
4109602	89648
4109603	37856
4109604	87256
4109605	79612
4109606	95628
4109607	117000
4109608	65832
4109609	80184
4109610	86320
4109611	80184
4109612	81224
4109613	45032
4109614	70876
4109615	92300
4109616	97500
4109617	74724
4109618	93860
4109619	104728
4109620	83252
4109621	79768
4109622	118924
4109623	117988
4109624	130780
4109625	117572
4109626	75244
4109627	107224
4109628	99632
4109629	95056
4109630	101192
4109631	93860
4109632	99632
4109633	52780
4109634	79456
4109701	49608
4109702	71500
4109703	67860
4109704	84500
4109705	80860
4109706	67444
4109707	65520
4109708	76856
4109709	61464
4109710	69316
4109712	70304
4109713	86320
4109714	85280
4109715	88088
4109716	81224
4109717	82316
4109718	69212
4109719	53612
4109720	57876
4109721	61464
4109722	80600
4109723	65624
4109724	50648
4109725	95836
4109726	76960
4109727	61360
4109728	75348
4109729	60632
4109730	70772
4109731	85852
4109732	86112
4109733	115700
4109734	113724
4109735	105248
4109736	66924
4109737	78728
4109738	
4109739	98020
4109801	
4109901	103220
4109902	80132
4109903	117988
4109904	131404
4109905	108784
4109906	108316
4109907	94224
4109908	123032
4109909	93600
4109910	105872
4109911	92196
4109912	84500
4109913	59384
4109914	83408
4109915	73892
4109916	100360
4109917	83200
4109918	95316
4109919	98540
4109920	78936
4109921	84500
4109922	
4109923	75348
4109924	75816
4109925	76440
4109926	114972
4109927	86320
4109928	102492
4109929	85748
4109930	125060
4109931	101348
4109932	104572
4109933	100412
4109934	67444
4109935	69056
4109936	
4109937	112268
4110001	59124
4110002	65936
4110003	86216
4110004	62504
4110005	105404
4110006	99632
4110007	117000
4110008	92612
4110009	77220
4110010	99632
4110011	94692
4110012	92300
4110013	89856
4110014	86320
4110015	109304
4110016	76024
4110017	60892
4110018	51376
4110019	107796
4110020	60788
4110021	96096
4110022	
4110023	42328
4110024	81224
4110025	72540
4110026	52884
4110027	83460
4110028	
4110029	56524
4110030	63232
4110031	101348
4110032	65884
4110033	88816
4110034	65936
4110035	60112
4110036	83200
4110037	92300
4110038	87048
4110101	54600
4110102	60632
4110103	55224
4110104	58500
4110105	63856
4110106	60112
4110107	64324
4110108	65312
4110109	49712
4110110	61724
4110111	57616
4110112	58500
4110113	67600
4110114	70564
4110115	69732
4110116	66248
4110117	92092
4110118	75192
4110119	70200
4110120	67444
4110121	71136
4110122	
4110123	75088
4110124	68224
4110125	94224
4110126	89440
4110127	99320
4110201	56628
4110202	
4110203	61360
4110204	49348
4110205	59540
4110206	69472
4110207	65936
4110208	59124
4110209	57200
4110210	52364
4110212	60632
4110214	69628
4110215	56316
4110216	65884
4110217	62660
4110218	
4110219	
4110221	
4110222	51220
4110223	52728
4110224	
4110225	55224
4110226	50232
4110227	57408
4110228	88816
4110229	75088
4110230	
4110231	72748
4110232	43576
4110233	52468
4110234	71500
4110235	69732
4110236	66768
4110237	47060
4110238	52468
4110239	55068
4110240	63960
4110241	80860
4110242	50648
4110243	66144
4110244	
4110245	64116
4110246	
4110247	72020
4110248	62816
4110249	61516
4110250	50232
4110251	71500
4110301	
4110401	
4110501	94224
4110502	103012
4110503	88972
4110504	92612
4110505	80444
4110506	115024
4110507	74724
4110601	85124
4110602	72488
4110603	91780
4110604	74516
4110605	61464
4110606	75972
4110607	92924
4110608	68224
4110609	100724
4110610	71084
4110611	72904
4110612	95836
4110613	123916
4110614	71500
4110615	93600
4110616	93184
4110617	66508
4110618	125892
4110619	92872
4110620	95836
4110621	79612
4110622	113568
4110623	81224
4110624	100256
4110625	104728
4110626	104520
4110627	106600
4110628	117000
4110629	76856
4110701	
4110702	65780
4110703	113360
4110704	87048
4110705	69316
4110706	121316
4110707	122148
4110708	80444
4110709	103324
4110710	75192
4110711	104936
4110712	
4110713	67184
4110714	75192
4110715	93340
4110716	77220
4110717	72852
4110718	83304
4110719	85176
4110720	122512
4110721	92612
4110722	91676
4110723	76336
4110724	76544
4110725	69056
4110726	70408
4110727	73216
4110728	74724
4110729	69316
4110730	77220
4110731	79092
4110732	68224
4110733	46800
4110734	95316
4110735	71032
4110736	68380
4110737	91988
4110738	86944
4110739	
4110740	74360
4110741	85020
4110742	88088
4110743	87360
4110744	90012
4110745	62504
4110746	103012
4110747	65728
4110748	116116
4110749	74724
4110750	59020
4110751	75816
4110752	59956
4110753	113880
4110754	79612
4110755	79300
4110801	69628
4110802	92456
4110803	79612
4110804	82056
4110805	88088
4110806	68692
4110807	123448
4110808	86840
4110809	
4110810	80184
4110811	71500
4110812	76856
4110813	91988
4110814	94900
4110815	73632
4110816	60112
4110817	99320
4110818	99632
4110819	97500
4110820	102648
4110821	93184
4110822	82472
4110823	66612
4110824	88816
4110825	102492
4110826	87256
4110827	91936
4110828	78728
4110829	76024
4110830	67028
4110831	78624
4110832	76336
4110833	79612
4110834	110500
4110835	70564
4110836	72072
4110837	77220
4110901	100412
4110902	100724
4110903	107536
4110904	73632
4110905	
4110906	125632
4110907	107068
4110908	94900
4110909	93184
4110910	87724
4110911	117000
4110912	94224
4110913	88192
4110914	95836
4111001	89752
4111002	72384
4111003	88348
4111004	65728
4111005	82316
4111006	107692
4111007	78624
4111008	96564
4111009	74724
4111010	61360
4111011	57876
4111012	86320
4111013	94692
4111014	72644
4111015	67704
4111016	107692
4111017	96200
4111101	60632
4111102	70200
4111103	69524
4111104	83616
4111105	72644
4111106	95108
4111107	80184
4111108	97136
4111109	73008
4111110	69316
4111111	117832
4111112	93756
4111113	96408
4111114	90324
4111115	65676
4111116	87724
4111117	106600
4111118	84500
4111119	63856
4111120	75504
4111121	60112
4111122	55224
4111123	77480
4111124	95836
4111125	84500
4111201	97500
4111202	77220
4111203	102336
4111204	95108
4111205	70200
4111206	80600
4111207	81432
4111208	83772
4111209	94224
4111210	105300
4111211	98748
4111212	104572
4111213	101920
4111214	79300
4111215	75452
4111216	92768
4111217	80184
4111301	69836
4111302	80860
4111303	79248
4111304	72904
4111305	68016
4111306	60424
4111307	54600
4111308	75348
4111309	59748
4111310	46124
4111401	83200
4111402	86112
4111403	80132
4111404	89752
4111405	52364
4111406	77064
4111407	70824
4111408	71500
4111410	76648
4111411	76336
4111412	77428
4111413	69836
4111414	57928
4111415	88816
4111416	88452
4111417	97500
4111501	92248
4111502	73424
4111503	95160
4111504	85904
4111505	91624
4111506	69108
4111507	96668
4111508	78780
4111509	89648
4111510	82836
4111601	93756
4111602	45812
4111603	81224
4111604	66768
4111605	70304
4111606	72904
4111607	83408
4111608	87724
4111609	94588
4111610	88972
4111611	74100
4111701	91624
4111702	73632
4111703	86216
4111704	84500
4111705	68224
4111706	59644
4111707	67184
4111708	76440
4111709	52728
4111710	57200
4111711	54756
4111712	51480
4111713	70876
4111714	69836
4111715	68224
4111716	71500
4111801	60320
4111802	68224
4111803	70772
4111804	68692
4111805	46020
4111806	50648
4111807	68068
4111808	58500
4111809	63336
4111810	59176
4111811	49868
4111812	49660
4111813	
4111814	55536
4111901	52468
4111902	48828
4111903	77376
4111904	64584
4111905	66456
4111906	70200
4111907	67860
4111908	64168
4111909	74152
4111910	58032
4111911	61048
4111912	68900
4111913	83408
4111914	73944
4111915	61724
4111916	66612
4111917	40612
4111918	61724
4111919	92872
4111920	74048
4111921	63492
4111922	40248
4111923	67184
4111924	59696
4111925	87048
4111926	81224
4111927	67964
4112001	65624
4112002	79300
4112003	51064
4112004	84500
4112005	71500
4112006	53196
4112007	69108
4112008	83772
4112009	73840
4112010	90220
4112011	61256
4112012	49088
4112013	69680
4112014	68224
4112015	50648
4112016	84500
4112101	67184
4112102	43524
4112103	52624
4112104	49140
4112105	61048
4112106	56836
4112107	63336
4112108	52832
4112109	48984
4112110	64324
4112111	76076
4112112	67444
4112113	74048
4112114	69836
4112115	80184
4112116	55224
4112117	38168
4112118	44200
4112201	44200
4112202	
4112203	48516
4112204	57564
4112205	50544
4112206	
4112207	75816
4112208	104624
4112209	79872
4112210	50908
4112211	63336
4112212	61412
4112213	110916
4112214	91884
4112215	53508
4112216	71500
4112217	81536
4112218	
4112219	94588
4112220	94224
4112221	48048
4112222	58500
4112223	57772
4112224	61048
4112225	68224
4112226	84500
4112227	43420
4112228	65884
4112229	65520
4112230	63648
4112231	69836
4112232	55692
4112233	43888
4112234	45604
4112235	59384
4112236	46176
4112237	44720
4112238	42172
4112239	113724
4112240	
4112241	46020
4112242	44200
4112243	55588
4112244	66612
4112301	69316
4112302	76648
4112303	62504
4112304	58500
4112305	96564
4112306	99632
4112307	72176
4112308	65728
4112309	65624
4112310	71500
4112401	
4112402	48516
4112403	71500
4112404	77116
4112405	60424
4112406	62816
4112407	68016
4112408	65728
4112409	53612
4112410	64324
4112411	57200
4112412	72384
4112413	51168
4112414	74464
4112501	47528
4112502	50024
4112503	60632
4112504	65364
4112505	67340
4112506	60424
4112507	50648
4112508	56628
4112509	59852
4112510	79092
4112511	41132
4112512	46800
4112601	50960
4112602	47424
4112603	64480
4112604	68432
4112605	48048
4112606	46488
4112607	43732
4112608	49712
4112609	56940
4112610	116948
4112611	52520
4112701	50908
4112702	75504
4112703	51012
4112704	60632
4112705	48256
4112706	62088
4112707	50388
4112708	65988
4112709	61256
4112710	56316
4112711	45292
4112712	70772
4112713	54860
4112714	94796
4112715	91676
4112716	51376
4112717	64324
4112718	65468
4112719	52572
4112720	55224
4112721	29848
4112801	40820
4112802	57096
4112803	57044
4112804	55796
4112805	52728
4112806	53612
4112807	58500
4112808	52364
4112809	
4112810	48516
4112811	52416
4112812	65364
4112813	68900
4112901	79612
4112902	65572
4112903	72176
4112904	85384
4112905	92612
4112906	105872
4112907	
4113001	52832
4113002	74724
4113003	69628
4113004	104988
4113005	75816
4113006	86632
4113007	63648
4113008	78416
4113009	60632
4113010	77116
4113011	63648
4113012	63544
4113013	67184
4113014	
4113015	
4113016	64376
4113017	76076
4113018	59644
4113019	61256
4113020	81224
4113021	74724
4113022	67444
4113023	79092
4113101	95836
4113102	55588
4113103	76856
4113104	74412
4113105	55692
4113106	68224
4113107	76076
4113108	68224
4113109	68484
4113110	73788
4113111	86112
4113112	58500
4113113	73632
4113201	73424
4113202	81900
4113203	51480
4113204	64428
4113205	86112
4113206	65832
4113301	71916
4113302	77532
4113303	79456
4113304	96772
4113305	81588
4113306	63180
4113307	91572
4113308	91728
4113309	56628
4113310	66716
4113311	105612
4113312	98384
4113313	69316
4113314	65780
4113315	51220
4113316	63752
4113317	75816
4113318	65780
4113319	61724
4113320	76336
4113321	66300
4113322	92196
4113323	73632
4113324	58500
4113325	108732
4113326	71500
4113327	54184
4113328	39936
4113329	53872
4113330	75192
4113331	61724
4113332	91676
4113333	86112
4113334	92092
4113335	
4113336	73632
4113337	97084
4113338	47372
4113339	42640
4113340	69056
4113341	86320
4113342	64428
4113401	60112
4113402	68692
4113403	76076
4113404	73216
4113405	73892
4113406	63856
4113407	102648
4113408	29900
4113409	81224
4113410	44148
4113411	
4113501	
4113502	
4113601	45604
4113602	87724
4113603	106184
4113604	47788
4113605	93184
4113606	75348
4113607	57720
4113608	56524
4113609	96408
4113610	
4113611	60320
4113612	53300
4113613	55224
4113614	63024
4113615	120952
4113617	
4113618	92248
4113619	113724
4113620	106184
4113621	58500
4113622	119860
4113623	58500
4113624	60320
4113625	63336
4113626	42172
4113627	55900
4113628	60632
4113629	71500
4113630	47528
4113631	86112
4113632	73424
4113633	45292
4113634	53300
4113635	42432
4113636	49608
4113637	78520
4113638	59904
4113639	91572
4113640	112008
4113641	95056
4113642	66612
4113643	105976
4113644	109772
4113645	92040
4113646	101504
4113647	126724
4113648	59488
4113649	85748
4113650	
4113651	42640
4113652	56628
4113653	53612
4113654	
4113655	48308
4113656	102648
4113657	69836
4113658	44200
4113659	41080
4113660	81224
4113661	92924
4113662	69316
4113701	
4113801	39624
4113802	
4113803	38636
4113804	
4113805	
4113806	58500
4113807	35724
4113808	
4113809	
4113810	40248
4113811	37700
4113812	38636
4113813	37700
4113814	34788
4113815	37180
4113816	37700
4113817	
4113901	61048
4113902	28548
4113903	53612
4113904	71500
4113905	70408
4113906	73112
4113907	62816
4113908	91832
4114001	110500
4114003	62816
4114004	61152
4114005	76648
4114006	62088
4114007	71500
4114008	84500
4114009	37700
4114010	90948
4114101	67600
4114102	24856
4114103	45032
4114104	40248
4114105	86112
4114107	61048
4114109	108316
4114110	74724
4114111	107224
4114201	63804
4114202	40456
4114203	69472
4114204	117572
4114205	99632
4114206	107016
4114207	108316
4114208	66612
4114209	92300
4114210	87724
4114211	52780
4114212	95732
4114213	66300
4114214	65572
4114215	93444
4114216	82316
4114217	87724
4114218	71500
4114219	50232
4114220	67860
4114221	42328
4114222	78624
4114223	57304
4114224	62192
4114225	58500
4114226	57408
4114227	60216
4114228	54496
4114229	37700
4114230	73112
4114231	64012
4114232	65936
4114233	66248
4114234	82628
4114235	
4114236	98020
4114301	133224
4114302	134108
4114303	123448
4114304	135408
4114305	127088
4114307	133016
4114308	
4114309	
4114311	171340
4114312	140972
4114313	152100
4114314	148148
4114401	79248
4114402	64012
4114403	66092
4114404	69836
4114405	54080
4114406	78936
4114407	55224
4114408	50024
4114409	44824
4114410	58500
4114411	40664
4114412	49192
4114413	53092
4114415	54860
4114416	56992
4114417	61048
4114418	45552
4114419	47164
4114420	51428
4114421	56108
4114422	59696
4114424	49504
4114425	69316
4114426	42692
4114427	53612
4114428	52416
4114429	50596
4114430	
4114431	54860
4114432	57304
4114433	84500
4114434	51740
4114501	78936
4114502	62244
4114503	65624
4114504	56472
4114505	63336
4114506	55588
4114507	64220
4114508	62348
4114509	76648
4114510	71500
4114511	73112
4114512	64532
4114513	51324
4114514	45916
4114601	106600
4114603	76076
4114604	71968
4114605	62816
4114606	70564
4114608	60112
4114609	62660
4114610	47632
4114611	70356
4114612	70200
4114613	63856
4114614	87724
4114615	94900
4114616	89544
4114617	66404
4114618	93444
4114701	57304
4114702	48412
4114703	84032
4114704	90428
4114705	95628
4114706	74048
4114707	92300
4114708	71240
4114709	76856
4114710	52520
4114711	72176
4114712	68796
4114713	83668
4114714	92924
4114715	77272
4114716	89076
4114717	65520
4114718	80964
4114801	66924
4114802	43836
4114803	60320
4114804	54392
4114805	53612
4114806	67964
4114807	53820
4114808	52520
4114809	54184
4114810	55432
4114811	59124
4114812	61360
4114813	56576
4114814	54964
4114815	58500
4114816	56940
4114817	64428
4114818	55796
4114819	50388
4114820	73632
4114821	55640
4114822	51740
4114823	41184
4114824	57720
4114825	67964
4114826	73372
4114827	43732
4114828	57928
4114829	39988
4114830	53612
4114901	59332
4114902	49348
4114903	70044
4114904	83408
4114905	52936
4114906	56628
4114907	52936
4114908	60268
4114909	52832
4114910	72332
4114911	78624
4114912	55224
4114913	71032
4114914	54184
4115001	70200
4115002	66612
4115003	79300
4115004	91832
4115005	66872
4115006	98540
4115007	51376
4115008	100724
4115009	92924
4115010	91468
4115011	98748
4115012	82836
4115013	69316
4115014	95524
4115015	96408
4115016	87724
4115017	84500
4115018	82316
4115101	81224
4115102	72020
4115103	46280
4115104	73632
4115105	40872
4115106	51324
4115107	59124
4115108	80132
4115109	75504
4115110	75816
4115111	71500
4115112	78780
4115113	58500
4115114	73632
4115201	80184
4115202	49140
4115203	65728
4115204	67132
4115205	54964
4115206	61256
4115207	55224
4115208	45032
4115209	49348
4115210	76856
4115211	63648
4115212	79300
4115213	74048
4115214	71500
4115215	65572
4115216	66924
4115401	64376
4115402	71084
4115403	70408
4115404	83200
4115405	
4115406	
4115407	60632
4115408	78676
4115409	69628
4115410	68900
4115411	71500
4115412	79716
4115413	72644
4115414	78728
4115415	66976
4115416	85124
4115417	74724
4115418	75660
4115501	75712
4115502	83564
4115503	78780
4115504	76076
4115505	54184
4115506	73788
4115601	45916
4115602	61412
4115603	73112
4115604	64324
4115605	76960
4115606	74724
4115607	93860
4115608	83408
4115609	71500
4115701	58500
4115702	84500
4115703	74464
4115704	79872
4115705	64012
4115706	73112
4115707	84500
4115708	84500
4115709	85072
4115710	56316
4115711	76856
4115712	76856
4115713	77480
4115714	67340
4115715	70304
4115716	64428
4115717	53092
4115718	62816
4115719	74932
4115720	76752
4115721	72540
4115801	81692
4115802	81224
4115803	49348
4115804	61360
